date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:45	523461/523461	U-----	200	untouched ('')	image/jpeg	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/images/headers/mirrorlake.jpg	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/images/headers/mirrorlake.jpg	(from https://v1kas.000webhostapp.com/)
09:56:47	53895/53895	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2019%20Aug%202022%2004:26:39%20GMT	https://v1kas.000webhostapp.com/contact	C:/My%20Web/vikash/v1kas.000webhostapp.com/contact.html	(from https://v1kas.000webhostapp.com/)
09:56:47	62805/62805	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2019%20Aug%202022%2004:26:39%20GMT	https://v1kas.000webhostapp.com/sample-page-2	C:/My%20Web/vikash/v1kas.000webhostapp.com/sample-page-2.html	(from https://v1kas.000webhostapp.com/)
09:56:48	30216/30216	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/js/frontend.js?ver=1.0.7.1	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/js/frontend501b.js	(from https://v1kas.000webhostapp.com/)
09:56:48	24138/24138	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/masonry.min.js?ver=4.2.2	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/masonry.min3a05.js	(from https://v1kas.000webhostapp.com/)
09:56:49	174863/174863	U-----	200	untouched ('OK')	image/svg+xml	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta.svg?9qd1ry	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta6611.svg	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:49	51956/51956	U-----	200	untouched ('')	application/font-sfnt	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta.ttf?9qd1ry	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta6611.ttf	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:49	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2019%20Aug%202022%2004:26:48%20GMT	https://v1kas.000webhostapp.com/xmlrpc.php	C:/My%20Web/vikash/v1kas.000webhostapp.com/xmlrpc.php	(from https://v1kas.000webhostapp.com/sample-page-2)
09:56:49	52032/52032	U-----	200	untouched ('')	application/font-woff	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta.woff?9qd1ry	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta6611.woff	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:49	30524/30524	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.eot	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.eot	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:49	30524/30524	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.eot?	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socialsd41d.eot	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:54	22488/22488	U-----	200	untouched ('')	application/font-woff	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.woff	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.woff	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:55	57741/57741	U-----	200	untouched ('OK')	image/svg+xml	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.svg?	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socialsd41d.svg	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:55	30356/30356	U-----	200	untouched ('')	application/font-sfnt	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.ttf	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/socials.ttf	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:55	59024/59024	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.eot	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.eot	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:56:59	2008/2008	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:26:57%20GMT	https://v1kas.000webhostapp.com/wp-json/wp/v2/pages/30	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/wp/v2/pages/30.json	(from https://v1kas.000webhostapp.com/contact)
09:57:02	1045/1045	U-----	200	untouched ('')	text/xml	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/wlwmanifest.xml	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/wlwmanifest.xml	(from https://v1kas.000webhostapp.com/)
09:57:03	852/852	U-----	200	untouched ('')	text/xml	date:Thu,%2018%20Aug%202022%2017:46:52%20GMT	https://v1kas.000webhostapp.com/xmlrpc.php?rsd	C:/My%20Web/vikash/v1kas.000webhostapp.com/xmlrpc0db0.php	(from https://v1kas.000webhostapp.com/)
09:57:04	53938/53938	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2019%20Aug%202022%2004:26:57%20GMT	https://v1kas.000webhostapp.com/about	C:/My%20Web/vikash/v1kas.000webhostapp.com/about.html	(from https://v1kas.000webhostapp.com/)
09:57:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Aug%202022%2004:27:00%20GMT	https://v1kas.000webhostapp.com/?p=30	C:/My%20Web/vikash/v1kas.000webhostapp.com/index5643.html	(from https://v1kas.000webhostapp.com/contact)
09:57:07	2422/2422	U--MCZ	200	updated ('OK')	text/xml	date:Fri,%2019%20Aug%202022%2004:27:04%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fcontact&format=xml	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embedd2be	(from https://v1kas.000webhostapp.com/contact)
09:57:07	5210/5210	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:27:04%20GMT	https://v1kas.000webhostapp.com/wp-json/wp/v2/pages/7	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/wp/v2/pages/7.json	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:09	2981/2981	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/comment-reply.min.js?ver=6.0.1	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/comment-reply.min37ad.js	(from https://v1kas.000webhostapp.com/contact)
09:57:09	2385/2385	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:27:07%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fsample-page-2	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embed63cb.json	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:10	2461/2461	U--MCZ	200	updated ('OK')	text/xml	date:Fri,%2019%20Aug%202022%2004:27:07%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fsample-page-2&format=xml	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embed8c93	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Aug%202022%2004:27:06%20GMT	https://v1kas.000webhostapp.com/?p=7	C:/My%20Web/vikash/v1kas.000webhostapp.com/indexc4f7.html	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:15	209520/209520	U-----	200	untouched ('')	image/png	date:Thu,%2018%20Aug%202022%2017:43:26%20GMT	https://v1kas.000webhostapp.com/wp-content/uploads/2022/08/THM-GXLGO47J9L.png	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/uploads/2022/08/THM-GXLGO47J9L.png	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:15	109444/109444	U-----	200	untouched ('')	image/png	date:Thu,%2018%20Aug%202022%2016:03:34%20GMT	https://v1kas.000webhostapp.com/wp-content/uploads/2022/08/Screenshot-289.png	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/uploads/2022/08/Screenshot-289.png	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:18	12459/12459	U-----	200	untouched ('')	image/png	etag:%22c57e2560b39b38897a9750f9aae9bd5c%22	https://tryhackme-badges.s3.amazonaws.com/M4tr1x.png	C:/My%20Web/vikash/tryhackme-badges.s3.amazonaws.com/M4tr1x.png	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:19	5629/5629	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/imagesloaded.mineda1.js	(from https://v1kas.000webhostapp.com/)
09:57:22	52124/52124	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta.eot?9qd1ry	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/iconmeta6611.eot	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:57:22	58936/58936	U-----	200	untouched ('')	application/font-woff	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.woff	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.woff	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:57:23	2306/2306	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:27:20%20GMT	https://v1kas.000webhostapp.com/wp-json/wp/v2/pages/23	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/wp/v2/pages/23.json	(from https://v1kas.000webhostapp.com/about)
09:57:24	58860/58860	U-----	200	untouched ('')	application/font-sfnt	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.ttf	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.ttf	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:57:26	2336/2336	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:27:23%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fabout	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embedc498.json	(from https://v1kas.000webhostapp.com/about)
09:57:26	2346/2346	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:27:24%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fcontact	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embed4be0.json	(from https://v1kas.000webhostapp.com/contact)
09:57:29	769/769	U-----	200	untouched ('')	application/rss+xml	etag:%22b8e38c9c03775b4c6b6aa83a65bced46%22	https://v1kas.000webhostapp.com/sample-page-2/feed	C:/My%20Web/vikash/v1kas.000webhostapp.com/sample-page-2/feed	(from https://v1kas.000webhostapp.com/sample-page-2)
09:57:31	11224/11224	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://v1kas.000webhostapp.com/)
09:57:31	1819/1819	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://v1kas.000webhostapp.com/)
09:57:32	59024/59024	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.eot?	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocksd41d.eot	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:57:32	222516/222516	U-----	200	untouched ('OK')	image/svg+xml	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocks.svg?	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/blocksd41d.svg	(from https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1)
09:57:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Aug%202022%2004:27:32%20GMT	https://v1kas.000webhostapp.com/?p=23	C:/My%20Web/vikash/v1kas.000webhostapp.com/index40a0.html	(from https://v1kas.000webhostapp.com/about)
09:57:34	2412/2412	U--MCZ	200	updated ('OK')	text/xml	date:Fri,%2019%20Aug%202022%2004:27:33%20GMT	https://v1kas.000webhostapp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fv1kas.000webhostapp.com%2Fabout&format=xml	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/oembed/1.0/embed2cde	(from https://v1kas.000webhostapp.com/about)
